Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
50.86,-0.0120668,-0.000237267,0.034835882,0.0,0.0,0.0,0.0
50.25,-0.0025407,-5.0563E-05,0.037581006,0.0,0.0,0.0,0.0
50.12,0.0414762,0.000827538,0.03973085,0.0,0.0,0.0,0.0
52.24,-0.030217,-0.000578399,0.038899136,0.0,0.0,0.0,0.0
50.69,-0.004994,-9.85244E-05,0.038072662,0.0,0.0,0.0,0.0
50.44,0.0233207,0.000462391,0.036879799,0.0,0.0,0.0,0.0
51.63,0.0184724,0.000357819,0.036774822,0.0,0.0,0.0,0.0
52.59,4.754E-05,9.03992E-07,0.036462683,0.0,0.0,0.0,0.0
52.59,0.0107802,0.000204987,0.036288561,0.0,0.0,0.0,0.0
53.16,-0.0008469,-1.59304E-05,0.036412049,0.0,0.0,0.0,0.0
53.12,-0.0473227,-0.000890949,0.037057048,0.0,0.0,0.0,0.0
50.66,0.018821,0.000371516,0.037362916,0.0,0.0,0.0,0.0
51.62,-0.011348,-0.000219826,0.037184185,0.0,0.0,0.0,0.0
51.04,0.006688,0.000131035,0.0361335,0.0,0.0,0.0,0.0
51.38,0.0167901,0.000326767,0.03599649,0.0,0.0,0.0,0.0
52.25,-0.0012926,-2.47383E-05,0.035973508,0.0,0.0,0.0,0.0
52.19,-0.0146707,-0.000281128,0.035884457,0.0,0.0,0.0,0.0
51.43,0.0168241,0.000327159,0.035741756,0.0,0.0,0.0,0.0
52.30,0.0193629,0.000370246,0.035641027,0.0,0.0,0.0,0.0
53.32,-9.378E-05,-1.75877E-06,0.035513079,0.0,0.0,0.0,0.0
53.32,0.004258,7.98652E-05,0.033331438,0.0,0.0,0.0,0.0
53.54,0.0117438,0.000219336,0.032768768,0.0,0.0,0.0,0.0
54.18,0.0313001,0.000577759,0.032656269,0.0,0.0,0.0,0.0
55.90,-0.0022603,-4.04357E-05,0.036938321,0.0,0.0,0.0,0.0
55.77,-0.0196242,-0.00035187,0.036796962,0.0,0.0,0.0,0.0
54.69,0.0052434,9.58788E-05,0.037075441,0.0,0.0,0.0,0.0
54.98,0.0036314,6.60558E-05,0.037935859,0.0,0.0,0.0,0.0
55.18,0.0093355,0.000169199,0.037477273,0.0,0.0,0.0,0.0
55.69,-0.0081582,-0.000146486,0.038083626,0.0,0.0,0.0,0.0
55.24,-0.0147259,-0.000266581,0.038027,0.0,0.0,0.0,0.0
54.43,0.0045366,8.33438E-05,0.037290994,0.0,0.0,0.0,0.0
54.68,-0.0047663,-8.71668E-05,0.036916568,0.0,0.0,0.0,0.0
54.42,0.0152723,0.000280638,0.036860477,0.0,0.0,0.0,0.0
55.26,-0.005171,-9.35804E-05,0.037396694,0.0,0.0,0.0,0.0
54.97,-0.0048779,-8.87343E-05,0.036625097,0.0,0.0,0.0,0.0
54.71,0.0232626,0.000425238,0.036577798,0.0,0.0,0.0,0.0
55.99,0.0027644,4.9371E-05,0.040198023,0.0,0.0,0.0,0.0
56.15,-0.0253875,-0.000452156,0.041401878,0.0,0.0,0.0,0.0
54.74,0.0084588,0.000154527,0.041381095,0.0,0.0,0.0,0.0
55.21,0.0276462,0.000500791,0.041208687,0.0,0.0,0.0,0.0
56.75,0.0002202,3.88054E-06,0.04218851,0.0,0.0,0.0,0.0
56.77,-0.0117841,-0.000207595,0.04239789,0.0,0.0,0.0,0.0
56.10,0.011652,0.0002077,0.042197842,0.0,0.0,0.0,0.0
